Way	O
to	O
reduce	O
the	O
amount	O
of	O
traffic	O
?	O
__END_PARAGRAPH__	O
Big	O
cities	O
nowadays	O
can	O
be	O
described	O
as	O
melting	O
pots	O
.	O
The	O
problem	O
off	O
traffic	O
overload	O
,	O
caused	O
by	O
overpopulation	O
,	O
has	O
aroused	O
interest	O
of	O
many	O
city	O
planners	O
.	O
It	O
is	O
argued	O
that	O
only	O
if	O
the	O
demand	O
to	O
go	O
out	O
on	O
the	O
street	O
is	O
cut	O
down	O
can	O
we	O
solve	O
the	O
seemingly	O
insurmountable	O
issue	O
of	O
traffic	O
gridlock	O
.	O
However	O
,	O
I	O
have	O
to	O
profoundly	O
disagree	O
for	O
there	O
are	O
still	O
two	O
viable	O
solutions	O
besides	O
besides	O
this	O
way	O
.	O
__END_PARAGRAPH__	O
First	O
of	O
all	O
,	O
public	B
transport	I
is	I
a	I
key	I
factor	I
to	I
minimize	I
the	I
number	I
of	I
vehicles	I
on	I
the	I
street	I
.	I
Buses	B
and	I
trains	I
have	I
been	I
phased	I
in	I
the	I
streets	I
for	I
quite	I
a	I
long	I
time	I
and	I
have	I
proven	I
themselves	I
the	I
best	I
candidates	I
among	I
all	I
options	I
.	I
Apparently	O
,	O
a	B
bus	I
can	I
carry	I
no	I
less	I
than	I
30	I
people	I
,	I
while	I
a	I
train	I
can	I
carry	I
as	I
much	I
as	I
nine	I
or	I
even	I
ten	I
times	I
of	I
that	I
number	I
.	I
Not	B
to	I
mention	I
the	I
fact	I
that	I
highway	I
train	I
is	I
operated	I
underground	I
,	I
which	I
leaves	I
the	I
street	I
above	I
with	I
buses	I
and	I
non-fuel-based	I
vehicles	I
.	I
Together	O
,	O
they	B
will	I
lessen	I
the	I
crowded	I
image	I
in	I
most	I
cities	I
nowadays	I
.	I
__END_PARAGRAPH__	O
Second	O
,	O
rarely	O
do	O
we	O
realize	O
the	O
helpful	O
existence	O
of	O
urban	O
areas	O
.	O
It	O
is	O
believed	O
that	O
if	B
some	I
of	I
the	I
enormous	I
shopping	I
malls	I
or	I
universities	I
were	I
relocated	I
in	I
the	I
commuter	I
belt	I
,	I
the	I
city	I
street	I
would	I
be	I
les	I
burstling	I
and	I
overly-teemed	I
as	I
it	I
is	I
now	I
.	I
As	O
a	O
rule	O
of	O
thumb	O
,	O
huge	B
centers	I
of	I
attention	I
distributed	I
equally	I
in	I
a	I
wide	I
region	I
means	I
that	I
residential	I
areas	I
will	I
come	I
along	I
thus	I
exert	I
less	I
pressure	I
on	I
the	I
public	I
facilities	I
.	I
The	B
city	I
itself	I
will	I
be	I
absolved	I
of	I
enduring	I
the	I
influx	I
of	I
immigrants	I
as	I
well	I
as	I
unemployed	I
people	I
.	I
__END_PARAGRAPH__	O
In	O
conclusion	O
,	O
city	B
planner	I
can	I
still	I
opt	I
for	I
non-personal	I
vehicle	I
and	I
the	I
exploitation	I
of	I
the	I
suburb	I
areas	I
.	I
It	O
is	O
highly	O
recommended	O
to	O
put	O
forward	O
such	O
